round,year,home,away,home_elo_2009,away_elo_2009,home_injuries_top5,home_injuries_top10,away_injuries_top5,away_injuries_top10,home_odds_open,home_odds_win_prob_close,home_season,standing_away,standing_home,thurs_fri,sat,sun,evening,margin,home_win,home_injuries_95th_to_90th,away_injuries_95th_to_90th,expected_margin
19,2013,Adelaide,Port Adelaide,1513.016182,1363.899144,0,0,0,0,2.07,0.459605963,Adelaide_2013,8,13,0,0,1,0,-4,0,0,0,-2.5
19,2013,Western Bulldogs,Sydney,1435.810852,1626.470039,0,0,0,0,8.36,0.094419366,Western Bulldogs_2013,2,15,0,0,1,0,-35,0,0,0,-44.5
19,2013,Brisbane Lions,St Kilda,1403.518963,1571.187106,0,0,0,0,1.24,0.758352758,Brisbane Lions_2013,16,12,0,1,0,1,31,1,0,0,25.5
19,2013,Carlton,Fremantle,1567.833834,1511.002871,0,0,0,0,1.95,0.511780105,Carlton_2013,4,9,0,1,0,1,-36,0,0,0,2.5
19,2013,West Coast,Gold Coast,1508.34477,1325.229547,0,0,0,0,1.47,0.642295541,West Coast_2013,14,11,0,1,0,0,17,1,0,0,13.5
19,2013,Hawthorn,Richmond,1678.564275,1444.520494,0,0,0,0,1.25,0.788143177,Hawthorn_2013,7,1,0,1,0,0,-41,0,0,0,28.5
19,2013,GWS Giants,Melbourne,1319.086,1295.107355,0,0,0,0,2,0.59469697,GWS Giants_2013,17,18,0,1,0,0,37,1,0,0,6.5
19,2013,North Melbourne,Geelong,1519.169555,1739.211078,0,0,0,0,3.64,0.272079772,North Melbourne_2013,3,10,1,0,0,1,10,1,0,0,-19.5
18,2013,Sydney,Richmond,1622.372147,1448.618387,0,0,0,0,1.29,0.746161884,Sydney_2013,6,3,0,0,1,0,47,1,0,0,22.5
18,2013,Western Bulldogs,West Coast,1431.437631,1512.717991,0,0,0,0,3.52,0.398169567,Western Bulldogs_2013,11,15,0,0,1,0,22,1,0,0,-10.5
18,2013,Port Adelaide,Brisbane Lions,1360.966029,1406.452078,0,0,0,0,1.47,0.722298222,Port Adelaide_2013,13,8,0,0,1,0,9,1,0,0,18.5
18,2013,Fremantle,Adelaide,1506.956332,1517.062722,0,0,0,0,1.29,0.755749405,Fremantle_2013,12,5,0,1,0,0,22,1,0,0,25.5
18,2013,Geelong,St Kilda,1733.910131,1576.488053,0,1,0,0,1.07,0.906084017,Geelong_2013,16,2,0,1,0,1,101,1,1,0,43.5
18,2013,Collingwood,GWS Giants,1678.038597,1321.758371,0,0,0,0,1.01,0.972547255,Collingwood_2013,18,7,0,1,0,0,40,1,0,0,86.5
18,2013,Melbourne,North Melbourne,1299.548392,1514.728518,0,0,0,0,15,0.05028667,Melbourne_2013,10,17,0,1,0,0,-122,0,0,0,-62.5
18,2013,Gold Coast,Carlton,1328.699378,1564.364003,0,0,0,0,2.73,0.298136646,Gold Coast_2013,9,14,0,1,0,0,-43,0,0,0,-16.5
18,2013,Essendon,Hawthorn,1501.578517,1674.302724,0,0,0,0,3.27,0.265754561,Essendon_2013,1,4,1,0,0,1,-56,0,0,0,-21.5
17,2013,West Coast,Sydney,1516.922304,1618.167834,0,0,0,0,2.58,0.350692354,West Coast_2013,4,10,0,0,1,0,-34,0,0,0,-12.5
17,2013,Adelaide,Geelong,1517.062722,1733.910131,1,1,1,1,4.5,0.194114038,Adelaide_2013,3,11,0,0,1,0,2,1,0,0,-25.5
17,2013,Richmond,Fremantle,1444.310664,1511.264054,0,0,0,0,2,0.569458736,Richmond_2013,5,6,0,0,1,0,27,1,0,0,5.5
17,2013,Melbourne,Brisbane Lions,1302.66596,1403.334511,0,0,0,0,4.73,0.235859891,Melbourne_2013,12,17,0,1,0,1,-19,0,0,0,-27.5
17,2013,St Kilda,Port Adelaide,1578.740021,1358.714061,0,0,0,1,2.02,0.450582605,St Kilda_2013,8,16,0,1,0,1,-5,0,0,1,-2.5
17,2013,Gold Coast,Collingwood,1326.297212,1680.440764,0,0,0,0,5.42,0.17985843,Gold Coast_2013,7,14,0,1,0,0,7,1,0,0,-28.5
17,2013,GWS Giants,Essendon,1325.489646,1497.847241,0,0,0,0,22.22,0.027452745,GWS Giants_2013,2,18,0,1,0,0,-39,0,0,0,-66.5
17,2013,Hawthorn,Western Bulldogs,1671.644078,1434.096277,0,0,0,0,1.01,0.948511166,Hawthorn_2013,15,1,0,1,0,0,19,1,0,0,60.5
17,2013,North Melbourne,Carlton,1514.728518,1564.364003,0,0,0,0,1.91,0.59469697,North Melbourne_2013,9,13,1,0,0,1,-1,0,0,0,6.5
16,2013,West Coast,Fremantle,1521.479468,1506.706891,0,0,0,0,2.5,0.328182711,West Coast_2013,5,10,0,0,1,0,-28,0,0,0,-15.5
16,2013,Western Bulldogs,Essendon,1438.249792,1493.693726,0,0,1,1,7.55,0.111738604,Western Bulldogs_2013,3,15,0,0,1,0,-31,0,0,0,-41.5
16,2013,Sydney,GWS Giants,1614.868934,1328.788546,0,0,0,0,1.01,0.977362911,Sydney_2013,18,4,0,0,1,0,129,1,0,0,79.5
16,2013,Brisbane Lions,North Melbourne,1400.236145,1517.826884,0,0,0,0,2.8,0.323522582,Brisbane Lions_2013,11,13,0,1,0,1,12,1,0,0,-16.5
16,2013,Carlton,St Kilda,1559.295764,1583.808259,0,0,0,0,1.42,0.713065109,Carlton_2013,16,9,0,1,0,1,36,1,0,0,19.5
16,2013,Richmond,Gold Coast,1441.741412,1328.866464,0,0,0,0,1.26,0.794765937,Richmond_2013,14,6,0,1,0,0,9,1,0,0,27.5
16,2013,Geelong,Melbourne,1731.736799,1304.839292,0,0,0,0,1.01,0.972547255,Geelong_2013,17,2,0,1,0,0,68,1,0,0,64.5
16,2013,Port Adelaide,Hawthorn,1361.758609,1668.59953,0,0,0,0,4.65,0.276861612,Port Adelaide_2013,1,8,0,1,0,0,-45,0,0,0,-17.5
16,2013,Collingwood,Adelaide,1677.155142,1520.348344,0,0,0,0,1.23,0.841587134,Collingwood_2013,12,7,1,0,0,1,27,1,0,0,29.5
15,2013,Essendon,Port Adelaide,1489.931697,1365.520637,0,0,0,0,1.31,0.728324916,Essendon_2013,8,3,0,0,1,0,30,1,0,0,21.5
15,2013,Fremantle,St Kilda,1501.735778,1588.779372,0,0,0,1,1.05,0.929144922,Fremantle_2013,16,5,0,0,1,0,30,1,0,1,56.5
15,2013,Melbourne,Sydney,1307.643542,1612.064684,0,0,0,0,17.5,0.050480769,Melbourne_2013,4,17,0,0,1,0,-31,0,0,0,-59.5
15,2013,Adelaide,West Coast,1522.351654,1519.476157,0,0,0,0,1.78,0.620377265,Adelaide_2013,9,12,0,1,0,1,-6,0,0,0,9.5
15,2013,Geelong,Hawthorn,1729.041239,1671.29509,0,0,0,0,2.23,0.385912698,Geelong_2013,1,2,0,1,0,1,10,1,0,0,-7.5
15,2013,Brisbane Lions,Gold Coast,1395.76732,1333.335288,0,0,1,1,1.55,0.734245439,Brisbane Lions_2013,13,14,0,1,0,0,33,1,0,0,22.5
15,2013,North Melbourne,Richmond,1512.246338,1447.321959,0,0,0,0,2.8,0.370326874,North Melbourne_2013,6,10,0,1,0,0,62,1,0,0,-12.5
15,2013,GWS Giants,Western Bulldogs,1330.666999,1436.371339,0,0,0,1,4.46,0.198317738,GWS Giants_2013,15,18,0,1,0,0,-4,0,0,1,-33.5
15,2013,Carlton,Collingwood,1563.716675,1672.734232,0,0,0,0,1.95,0.619605303,Carlton_2013,7,11,1,0,0,1,-41,0,0,0,8.5
14,2013,Richmond,St Kilda,1438.739112,1597.362219,0,0,0,0,1.25,0.834602254,Richmond_2013,15,6,0,0,1,0,64,1,0,0,33.5
14,2013,North Melbourne,GWS Giants,1507.413897,1335.49944,0,0,0,0,1.02,0.976680659,North Melbourne_2013,18,12,0,0,1,0,86,1,0,0,87.5
14,2013,Hawthorn,Brisbane Lions,1667.838089,1399.224321,0,0,0,0,1.06,0.904130443,Hawthorn_2013,14,1,0,0,1,0,58,1,0,0,43.5
14,2013,Geelong,Fremantle,1725.460263,1505.316754,1,1,0,1,1.54,0.722719523,Geelong_2013,5,2,0,1,0,1,41,1,0,1,16.5
14,2013,Melbourne,Western Bulldogs,1307.643542,1436.371339,0,0,0,0,4.85,0.225916437,Melbourne_2013,16,17,0,1,0,1,3,1,0,0,-26.5
14,2013,Port Adelaide,Collingwood,1358.543279,1679.711589,0,0,0,0,3.44,0.30412023,Port Adelaide_2013,8,7,0,1,0,0,35,1,0,0,-15.5
14,2013,Gold Coast,Adelaide,1336.777786,1518.909156,0,0,0,0,2.24,0.376081192,Gold Coast_2013,11,13,0,1,0,0,-28,0,0,0,-10.5
14,2013,Sydney,Carlton,1608.252082,1567.529276,0,0,0,0,1.36,0.67816092,Sydney_2013,9,4,1,0,0,1,22,1,0,0,13.5
14,2013,West Coast,Essendon,1521.514861,1487.892994,0,1,0,0,1.92,0.430541264,West Coast_2013,3,10,1,0,0,1,-7,0,1,0,-5.5
13,2013,Brisbane Lions,Geelong,1396.847801,1727.836783,0,0,0,0,6.16,0.157828448,Brisbane Lions_2013,2,14,0,0,1,0,5,1,0,0,-28.5
13,2013,Fremantle,North Melbourne,1500.334463,1512.396188,0,0,0,0,1.3,0.713065109,Fremantle_2013,13,3,0,0,1,0,38,1,0,0,17.5
13,2013,Western Bulldogs,Richmond,1442.817037,1432.293414,0,0,0,0,5.98,0.110302891,Western Bulldogs_2013,6,16,0,1,0,1,-60,0,0,0,-40.5
13,2013,St Kilda,Melbourne,1594.324383,1310.681378,0,0,0,0,1.12,0.851669403,St Kilda_2013,17,15,0,1,0,0,35,1,0,0,38.5
13,2013,Port Adelaide,Sydney,1354.205986,1612.589376,0,1,0,0,6.69,0.094419366,Port Adelaide_2013,5,8,0,1,0,0,18,1,1,0,-37.5
13,2013,Hawthorn,West Coast,1664.855627,1524.497322,0,0,0,0,1.19,0.822858036,Hawthorn_2013,10,1,1,0,0,1,20,1,0,0,31.5
12,2013,Collingwood,Western Bulldogs,1676.348995,1446.179631,0,0,0,0,1.13,0.866132723,Collingwood_2013,14,6,0,0,1,0,34,1,0,0,35.5
12,2013,GWS Giants,Port Adelaide,1342.358734,1347.346691,0,0,0,0,4.81,0.230147947,GWS Giants_2013,10,18,0,0,1,0,-75,0,0,0,-28.5
12,2013,Essendon,Gold Coast,1483.734501,1340.936279,0,0,0,0,1.21,0.850389321,Essendon_2013,12,3,0,1,0,1,43,1,0,0,37.5
12,2013,Fremantle,Brisbane Lions,1495.798654,1401.38361,0,0,0,0,1.07,0.927606402,Fremantle_2013,15,5,0,1,0,0,40,1,0,0,46.5
12,2013,Richmond,Adelaide,1426.723406,1524.479164,0,0,0,0,1.4,0.688360027,Richmond_2013,11,7,0,1,0,0,38,1,0,0,17.5
12,2013,Carlton,Hawthorn,1570.146048,1662.238855,0,0,0,0,3.69,0.217329854,Carlton_2013,1,8,1,0,0,1,-15,0,0,0,-23.5
11,2013,Melbourne,Collingwood,1313.296051,1673.734322,0,0,0,0,19.52,0.050480769,Melbourne_2013,6,17,0,0,0,0,-83,0,0,0,-70.5
11,2013,St Kilda,West Coast,1596.409524,1522.412181,0,0,0,0,3.18,0.336987337,St Kilda_2013,8,16,0,0,1,0,-4,0,0,0,-16.5
11,2013,Gold Coast,North Melbourne,1337.700993,1515.631474,0,0,0,0,3.44,0.254901961,Gold Coast_2013,13,12,0,1,0,1,15,1,0,0,-19.5
11,2013,Adelaide,Sydney,1530.562969,1606.505571,0,0,0,0,2.59,0.357704459,Adelaide_2013,3,10,0,1,0,0,-77,0,0,0,-8.5
11,2013,GWS Giants,Geelong,1344.891233,1725.304284,0,0,0,0,25.99,0.024188664,GWS Giants_2013,1,18,0,1,0,0,-59,0,0,0,-82.5
11,2013,Essendon,Carlton,1481.630266,1572.250284,0,0,0,0,1.86,0.519652028,Essendon_2013,7,4,1,0,0,1,5,1,0,0,2.5
10,2013,West Coast,Richmond,1528.566272,1420.569316,0,0,0,0,1.31,0.744739621,West Coast_2013,7,10,0,0,0,0,-41,0,0,0,23.5
